Time,CPU,RSS,VMS,IO_Read,IO_Write
0.0,0.0,131072,419900620800,0,0
0.51,5.5,16990208,445713580032,0,0
1.01,0.0,16990208,445713580032,0,0
1.51,0.0,16990208,445713580032,0,0
2.02,0.0,16990208,445713580032,0,0
2.52,0.0,16990208,445713580032,0,0
3.02,0.0,16990208,445713580032,0,0
3.53,0.0,14860288,445713580032,0,0
4.04,0.0,11485184,445713580032,0,0
4.54,0.0,11485184,445713580032,0,0
5.04,0.0,11485184,445713580032,0,0
5.55,0.0,11485184,445713580032,0,0
6.05,0.0,11485184,445713580032,0,0
6.56,0.0,11485184,445713580032,0,0
7.06,0.0,11485184,445713580032,0,0
7.57,0.0,11485184,445713580032,0,0
8.07,0.0,11485184,445713580032,0,0
8.57,0.0,11485184,445713580032,0,0
9.07,0.0,11485184,445713580032,0,0
9.58,0.0,11485184,445713580032,0,0
10.08,0.0,11485184,445713580032,0,0
10.59,0.0,11485184,445713580032,0,0
11.09,0.0,8536064,445713580032,0,0
11.59,0.0,8536064,445713580032,0,0
